iso_code,continent,location,last_updated_date,total_cases,new_cases
TUN,Africa,Tunisia,2022-03-20,1029762,166
TUR,Asia,Turkey,2022-03-20,14693917,13081
TCA,North America,Turks and Caicos Islands,2022-03-20,5874,0
UGA,Africa,Uganda,2022-03-20,163688,53
UKR,Europe,Ukraine,2022-03-20,5040518,0
ARE,Asia,United Arab Emirates,2022-03-20,887732,347
GBR,Europe,United Kingdom,2022-03-20,20154286,92449
USA,North America,United States,2022-03-20,79734788,6623
OWID_UMC,,Upper middle income,2022-03-20,123063399,120686
URY,South America,Uruguay,2022-03-20,875313,909
UZB,Asia,Uzbekistan,2022-03-20,237476,38
VUT,Oceania,Vanuatu,2022-03-20,753,273
VAT,Europe,Vatican,2022-03-20,29,0
VEN,South America,Venezuela,2022-03-20,519670,250
VNM,Asia,Vietnam,2022-03-20,7958048,166207
WLF,Oceania,Wallis and Futuna,2022-03-20,454,0
OWID_WRL,,World,2022-03-20,470736464,1023012
YEM,Asia,Yemen,2022-03-20,11801,2
ZMB,Africa,Zambia,2022-03-20,315623,127
ZWE,Africa,Zimbabwe,2022-03-20,244452,440
